index,word,file,exists,width,height,bytes
128,Stove,Stove.png,True,1024,1024,491466
129,Oven,Oven.png,True,1024,1024,451125
130,Microwave,Microwave.png,True,1024,1024,374013
131,Freezer,Freezer.png,True,1024,1024,346871
132,Toaster,Toaster.png,True,1024,1024,361334
133,Teapot,Teapot.png,True,1024,1024,392875
134,Mug,Mug.png,True,1024,1024,318454
135,Chopsticks,Chopsticks.png,True,1024,1024,349728
136,Thermos,Thermos.png,True,1024,1024,256562
137,Speaker,Speaker.png,True,1024,1024,394902
138,Headphone,Headphone.png,True,1024,1024,471608
139,Church,Church.png,True,1024,1024,401396
140,Temple,Temple.png,True,1024,1024,361065
141,Palace,Palace.png,True,1024,1024,467213
142,Theater,Theater.png,True,1024,1024,366034
143,Cinema,Cinema.png,True,1024,1024,387565
144,Stadium,Stadium.png,True,1024,1024,424232
145,Mall,Mall.png,True,1024,1024,372735
146,Supermarket,Supermarket.png,True,1024,1024,429649
147,Bakery,Bakery.png,True,1024,1024,487791
148,Restaurant,Restaurant.png,True,1024,1024,383364
149,Cafe,Cafe.png,True,1024,1024,342173
150,Factory,Factory.png,True,1024,1024,324927
151,Office,Office.png,True,1024,1024,318162
152,Village,Village.png,True,1024,1024,508824
153,Van,Van.png,True,1024,1024,358887
154,Scooter,Scooter.png,True,1024,1024,342365
155,Helicopter,Helicopter.png,True,1024,1024,394723
156,Ferry,Ferry.png,True,1024,1024,312408
157,Sailboat,Sailboat.png,True,1024,1024,369391
158,Tractor,Tractor.png,True,1024,1024,433941
159,Ambulance,Ambulance.png,True,1024,1024,359886
160,Wagon,Wagon.png,True,1024,1024,338315
161,Stroller,Stroller.png,True,1024,1024,411528
162,Harbor,Harbor.png,True,1024,1024,431843
163,Typhoon,Typhoon.png,True,1024,1024,370787
164,Tornado,Tornado.png,True,1024,1024,303431
165,Hail,Hail.png,True,1024,1024,266629
166,Puddle,Puddle.png,True,1024,1024,245428
167,Icicle,Icicle.png,True,1024,1024,333929
168,Sunrise,Sunrise.png,True,1024,1024,379236
169,Sunset,Sunset.png,True,1024,1024,374025
170,Dawn,Dawn.png,True,1024,1024,380347
171,Dusk,Dusk.png,True,1024,1024,482030
172,Shade,Shade.png,True,1024,1024,510878
173,Waterfall,Waterfall.png,True,1024,1024,641665
174,Pebble,Pebble.png,True,1024,1024,356559
175,Trunk,Trunk.png,True,1024,1024,429558
176,Twig,Twig.png,True,1024,1024,274314
177,Mist,Mist.png,True,1024,1024,338898
178,Blossom,Blossom.png,True,1024,1024,458839
179,Petal,Petal.png,True,1024,1024,325910
180,Vine,Vine.png,True,1024,1024,401143
181,Century,Century.png,True,1024,1024,472754
182,Decade,Decade.png,True,1024,1024,385246
183,Weekend,Weekend.png,True,1024,1024,810084
184,Weekday,Weekday.png,True,1024,1024,496209
185,Birthday,Birthday.png,True,1024,1024,556581
186,Anniversary,Anniversary.png,True,1024,1024,633149
187,Midnight,Midnight.png,True,1024,1024,357013
188,Noon,Noon.png,True,1024,1024,325406
189,Hour,Hour.png,True,1024,1024,341868
190,Minute,Minute.png,True,1024,1024,329483
191,Navy,Navy.png,True,1024,1024,190940
192,Beige,Beige.png,True,1024,1024,201390
193,Dozen,Dozen.png,True,1024,1024,455195
194,Half,Half.png,True,1024,1024,366386
195,Quarter,Quarter.png,True,1024,1024,420816
196,Triple,Triple.png,True,1024,1024,421596
197,Million,Million.png,True,1024,1024,529006
198,Billion,Billion.png,True,1024,1024,699759
199,Pair,Pair.png,True,1024,1024,339075
200,Dot,Dot.png,True,1024,1024,137633
201,Shallow,Shallow.png,True,1024,1024,322361
202,Straight,Straight.png,True,1024,1024,271769
203,Curved,Curved.png,True,1024,1024,197787
204,Square,Square.png,True,1024,1024,138005
